,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
199,大佛普拉斯,https://movie.douban.com/subject/27059130/,8.7,475247,导演: 黄信尧 Hsin-yao Huang,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧
200,你看起来好像很好吃,https://movie.douban.com/subject/4848115/,8.9,341093,导演: 藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童
201,可可西里,https://movie.douban.com/subject/1308857/,8.9,310873,导演: 陆川 Chuan Lu,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪
202,黑天鹅,https://movie.douban.com/subject/1978709/,8.6,793575,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚
203,城市之光,https://movie.douban.com/subject/1293908/,9.3,151696,导演: Charles Chaplin,主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情
204,真爱至上,https://movie.douban.com/subject/1292401/,8.5,751548,导演: 理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 连姆...,2003,英国 美国 法国,喜剧 剧情 爱情
205,源代码,https://movie.douban.com/subject/3075287/,8.5,851832,导演: 邓肯·琼斯 Duncan Jones,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚
206,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,8.6,562457,导演: 肯尼斯·罗纳根 Kenneth Lonergan,主演: 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭
207,雨人,https://movie.douban.com/subject/1291870/,8.7,411712,导演: 巴瑞·莱文森 Barry Levinson,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情
208,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,8.6,621212,导演: 布莱恩·辛格 Bryan Singer,主演: 拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐
209,末路狂花,https://movie.douban.com/subject/1291992/,8.9,271697,导演: 雷德利·斯科特 Ridley Scott,主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚
210,初恋这件小事,https://movie.douban.com/subject/4739952/,8.5,993788,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情
211,青蛇,https://movie.douban.com/subject/1303394/,8.6,539527,导演: 徐克 Hark Tsui,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
