,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
44,海蒂和爷爷,https://movie.douban.com/subject/25958717/,9.3,645344,导演: 阿兰·葛斯彭纳 Alain Gsponer,主演: 阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭
45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,9.1,1376676,导演: 李安 Ang Lee,主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
46,钢琴家,https://movie.douban.com/subject/1296736/,9.3,661432,导演: 罗曼·波兰斯基 Roman Polanski,主演: 艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐
47,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,9.0,1247513,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
48,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.2,773150,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险
49,闻香识女人,https://movie.douban.com/subject/1298624/,9.1,912507,导演: 马丁·布莱斯 Martin Brest,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情
50,死亡诗社,https://movie.douban.com/subject/1291548/,9.2,751897,导演: 彼得·威尔 Peter Weir,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情
51,绿皮书,https://movie.douban.com/subject/27060077/,8.9,1693725,导演: 彼得·法雷里 Peter Farrelly,主演: 维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐
52,罗马假日,https://movie.douban.com/subject/1293839/,9.1,969515,导演: 威廉·惠勒 William Wyler,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情
53,大闹天宫,https://movie.douban.com/subject/1418019/,9.4,451547,导演: 万籁鸣 Laiming Wan,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),1978(中国大陆)
54,天堂电影院,https://movie.douban.com/subject/1291828/,9.2,691255,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情
55,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,9.1,868479,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险
56,黑客帝国,https://movie.douban.com/subject/1291843/,9.1,857413,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主...,1999,美国,动作 科幻
57,教父2,https://movie.douban.com/subject/1299131/,9.3,568271,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1974,美国,剧情 犯罪
58,狮子王,https://movie.douban.com/subject/1301753/,9.1,866302,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,主演: 乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞
59,辩护人,https://movie.douban.com/subject/21937445/,9.2,601204,导演: 杨宇硕 Woo-seok Yang,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情
60,饮食男女,https://movie.douban.com/subject/1291818/,9.2,638233,导演: 李安 Ang Lee,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭
61,搏击俱乐部,https://movie.douban.com/subject/1292000/,9.0,867512,导演: 大卫·芬奇 David Fincher,主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚
62,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,9.0,1007457,导演: 大卫·芬奇 David Fincher,主演: 凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻
63,美丽心灵,https://movie.douban.com/subject/1306029/,9.1,786414,导演: 朗·霍华德 Ron Howard,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情
64,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,9.2,581400,导演: 马克·赫尔曼 Mark Herman,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争
65,窃听风暴,https://movie.douban.com/subject/1900841/,9.2,577719,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑
66,情书,https://movie.douban.com/subject/1292220/,8.9,1147055,导演: 岩井俊二 Shunji Iwai,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情
67,两杆大烟枪,https://movie.douban.com/subject/1293350/,9.1,608226,导演: 盖·里奇 Guy Ritchie,主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪
68,西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.9,998252,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色
69,音乐之声,https://movie.douban.com/subject/1294408/,9.1,617848,导演: 罗伯特·怀斯 Robert Wise,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞
70,看不见的客人,https://movie.douban.com/subject/26580232/,8.8,1304393,导演: 奥里奥尔·保罗 Oriol Paulo,主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚
71,阿凡达,https://movie.douban.com/subject/1652587/,8.8,1452591,导演: 詹姆斯·卡梅隆 James Cameron,主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险
72,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,9.0,856041,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险
73,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,9.1,662029,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争
74,飞越疯人院,https://movie.douban.com/subject/1292224/,9.1,558238,导演: 米洛斯·福尔曼 Miloš Forman,主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情
75,小鞋子,https://movie.douban.com/subject/1303021/,9.2,421026,导演: 马基德·马基迪 Majid Majidi,主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭
76,沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,913613,导演: 乔纳森·戴米 Jonathan Demme,主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚
77,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,8.9,967372,导演: 韦斯·安德森 Wes Anderson,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险
78,功夫,https://movie.douban.com/subject/1291543/,8.8,1170757,导演: 周星驰 Stephen Chow,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
79,禁闭岛,https://movie.douban.com/subject/2334904/,8.9,1004102,导演: Martin Scorsese,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚
80,蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,961571,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
81,致命魔术,https://movie.douban.com/subject/1780330/,8.9,881606,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚
82,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,8.9,757542,导演: Alfonso Cuarón,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险
83,心灵捕手,https://movie.douban.com/subject/1292656/,8.9,734484,导演: 格斯·范·桑特 Gus Van Sant,主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情
84,超脱,https://movie.douban.com/subject/5322596/,9.0,624676,导演: 托尼·凯耶 Tony Kaye,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情
85,低俗小说,https://movie.douban.com/subject/1291832/,8.9,856336,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪
86,海豚湾,https://movie.douban.com/subject/3442220/,9.3,362408,导演: 路易·西霍尤斯 Louie Psihoyos,主演: 路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片
87,摩登时代,https://movie.douban.com/subject/1294371/,9.3,310129,导演: 查理·卓别林 Charles Chaplin,主演: 查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情
88,春光乍泄,https://movie.douban.com/subject/1292679/,9.0,647452,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性
89,美国往事,https://movie.douban.com/subject/1292262/,9.2,422267,导演: 赛尔乔·莱翁内 Sergio Leone,主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情
90,喜剧之王,https://movie.douban.com/subject/1302425/,8.8,993079,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情
91,致命ID,https://movie.douban.com/subject/1297192/,8.9,848516,导演: 詹姆斯·曼高德 James Mangold,主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚
92,杀人回忆,https://movie.douban.com/subject/1300299/,8.9,737700,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
93,红辣椒,https://movie.douban.com/subject/1865703/,9.1,483050,导演: 今敏 Satoshi Kon,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚
94,七宗罪,https://movie.douban.com/subject/1292223/,8.8,962910,导演: 大卫·芬奇 David Fincher,主演: 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚
95,哈利·波特与密室,https://movie.douban.com/subject/1296996/,8.9,784605,导演: Chris Columbus,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险
96,加勒比海盗,https://movie.douban.com/subject/1298070/,8.8,880851,导演: 戈尔·维宾斯基 Gore Verbinski,主演: 约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻
97,一一,https://movie.douban.com/subject/1292434/,9.1,410245,导演: 杨德昌 Edward Yang,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭
98,狩猎,https://movie.douban.com/subject/6985810/,9.1,404461,导演: 托马斯·温特伯格 Thomas Vinterberg,主演: 麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情
99,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,8.7,1107448,导演: 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装
100,7号房的礼物,https://movie.douban.com/subject/10777687/,8.9,570495,导演: 李焕庆 Hwan-kyeong Lee,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭
101,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.9,717144,导演: 中岛哲也 Tetsuya Nakashima,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞
102,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,8.9,740949,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
103,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,8.8,740829,导演: 卢卡·瓜达尼诺 Luca Guadagnino,主演: 艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性
104,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,8.8,704487,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情
105,剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,1053510,导演: 蒂姆·波顿 Tim Burton,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 奇幻 爱情
106,断背山,https://movie.douban.com/subject/1418834/,8.8,720385,导演: 李安 Ang Lee,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭
107,入殓师,https://movie.douban.com/subject/2149806/,8.9,683126,导演: 泷田洋二郎 Yôjirô Takita,主演: 本木雅弘 Masahiro Motoki / ...,2008,日本,剧情
108,第六感,https://movie.douban.com/subject/1297630/,8.9,570528,导演: M·奈特·沙马兰 M. Night Shyamalan,主演: 布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚
109,重庆森林,https://movie.douban.com/subject/1291999/,8.8,832424,导演: 王家卫 Kar Wai Wong,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情
110,勇敢的心,https://movie.douban.com/subject/1294639/,8.9,567323,导演: 梅尔·吉布森 Mel Gibson,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争
111,超能陆战队,https://movie.douban.com/subject/11026735/,8.7,1040643,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,主演: 斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险
112,甜蜜蜜,https://movie.douban.com/subject/1305164/,8.9,575579,导演: 陈可辛 Peter Chan,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情
113,幽灵公主,https://movie.douban.com/subject/1297359/,8.9,536440,导演: 宫崎骏 Hayao Miyazaki,主演: 松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险
114,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,8.9,578866,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情
115,菊次郎的夏天,https://movie.douban.com/subject/1293359/,8.9,610057,导演: 北野武 Takeshi Kitano,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧
116,寄生虫,https://movie.douban.com/subject/27010768/,8.8,1404050,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情
117,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,8.9,567790,导演: 米林宏昌 Hiromasa Yonebayashi,主演: 志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险
118,消失的爱人,https://movie.douban.com/subject/21318488/,8.7,979969,导演: 大卫·芬奇 David Fincher,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚
119,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,8.8,628038,导演: 姜文 Wen Jiang,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情
120,天使爱美丽,https://movie.douban.com/subject/1292215/,8.7,967070,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,主演: 奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情 喜剧 爱情
121,完美的世界,https://movie.douban.com/subject/1300992/,9.1,323540,导演: 克林特·伊斯特伍德 Clint Eastwood,主演: 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪
122,倩女幽魂,https://movie.douban.com/subject/1297447/,8.8,754204,导演: 程小东 Siu-Tung Ching,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装
123,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,9.0,434512,导演: 森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情
124,无人知晓,https://movie.douban.com/subject/1292337/,9.1,327931,导演: 是枝裕和 Hirokazu Koreeda,主演: 柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情
125,时空恋旅人,https://movie.douban.com/subject/10577869/,8.8,696684,导演: 理查德·柯蒂斯 Richard Curtis,主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国,喜剧 爱情 奇幻
126,未麻的部屋,https://movie.douban.com/subject/1395091/,9.1,350657,导演: 今敏 Satoshi Kon,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚
127,侧耳倾听,https://movie.douban.com/subject/1297052/,8.9,474257,导演: 近藤喜文 Yoshifumi Kondo,主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画
128,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,8.8,684795,导演: 迈克·内威尔 Mike Newell,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险
129,驯龙高手,https://movie.douban.com/subject/2353023/,8.8,774264,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:...,2010,美国,动画 奇幻 冒险
130,幸福终点站,https://movie.douban.com/subject/1292274/,8.8,585746,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情
131,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,8.9,499444,导演: 汉内斯·赫尔姆 Hannes Holm,主演: 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情
132,小森林 冬春篇,https://movie.douban.com/subject/25814707/,9.0,387159,导演: 森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情
133,教父3,https://movie.douban.com/subject/1294240/,9.0,385063,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1990,美国,剧情 犯罪
134,怪兽电力公司,https://movie.douban.com/subject/1291579/,8.8,692669,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演: 约...,2001,美国,儿童 喜剧 动画 奇幻 冒险
135,玩具总动员3,https://movie.douban.com/subject/1858711/,8.9,532770,导演: 李·昂克里奇 Lee Unkrich,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险
136,傲慢与偏见,https://movie.douban.com/subject/1418200/,8.7,823539,导演: 乔·怀特 Joe Wright,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情
137,新世界,https://movie.douban.com/subject/10437779/,8.9,454328,导演: 朴勋政 Hoon-jung Park,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪
138,萤火之森,https://movie.douban.com/subject/5989818/,8.9,553602,导演: 大森贵弘 Takahiro Omori,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻
139,茶馆,https://movie.douban.com/subject/1461403/,9.6,157612,导演: 谢添 Tian Xie,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史
140,釜山行,https://movie.douban.com/subject/25986180/,8.6,1227766,导演: 延尚昊 Sang-ho Yeon,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难
141,被解救的姜戈,https://movie.douban.com/subject/6307447/,8.8,624243,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险
142,神偷奶爸,https://movie.douban.com/subject/3287562/,8.7,966356,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,主演: ...,2010,美国 法国,喜剧 动画 冒险
143,告白,https://movie.douban.com/subject/4268598/,8.8,684495,导演: 中岛哲也 Tetsuya Nakashima,主演: 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑
144,玛丽和马克思,https://movie.douban.com/subject/3072124/,9.0,427679,导演: 亚当·艾略特 Adam Elliot,主演: 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画
145,哪吒闹海,https://movie.douban.com/subject/1307315/,9.2,266975,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,主演: 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻
146,色，戒,https://movie.douban.com/subject/1828115/,8.7,839497,导演: 李安 Ang Lee,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
147,九品芝麻官,https://movie.douban.com/subject/1297518/,8.7,701939,导演: 王晶 Jing Wong,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港 中国大陆,剧情 喜剧 古装
148,大鱼,https://movie.douban.com/subject/1291545/,8.8,580143,导演: 蒂姆·波顿 Tim Burton,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 家庭 奇幻 冒险
149,喜宴,https://movie.douban.com/subject/1303037/,9.0,375116,导演: 李安 Ang Lee,主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
150,模仿游戏,https://movie.douban.com/subject/10463953/,8.8,662812,导演: 莫滕·泰杜姆 Morten Tyldum,主演: 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性
151,头号玩家,https://movie.douban.com/subject/4920389/,8.6,1396194,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险
152,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,8.7,653058,导演: 刘镇伟 Jeffrey Lau,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装
153,花样年华,https://movie.douban.com/subject/1291557/,8.8,627637,导演: 王家卫 Kar Wai Wong,主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,中国香港,剧情 爱情
154,头脑特工队,https://movie.douban.com/subject/10533913/,8.8,634411,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险
155,我是山姆,https://movie.douban.com/subject/1306861/,9.0,346040,导演: 杰茜·尼尔森 Jessie Nelson,主演: Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭
156,阳光姐妹淘,https://movie.douban.com/subject/4917726/,8.8,599139,导演: 姜炯哲 Hyeong-Cheol Kang,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧
157,七武士,https://movie.douban.com/subject/1295399/,9.3,203870,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情
158,血战钢锯岭,https://movie.douban.com/subject/26325320/,8.7,797395,导演: 梅尔·吉布森 Mel Gibson,主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争
159,恐怖直播,https://movie.douban.com/subject/21360417/,8.7,667561,导演: 金秉祐 Byeong-woo Kim,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑
160,惊魂记,https://movie.douban.com/subject/1293181/,9.0,306332,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,主演: 安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖
161,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,8.8,456610,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
162,你的名字。,https://movie.douban.com/subject/26683290/,8.5,1440028,导演: 新海诚 Makoto Shinkai,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画
163,电锯惊魂,https://movie.douban.com/subject/1417598/,8.7,549859,导演: 詹姆斯·温 James Wan,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖
164,三块广告牌,https://movie.douban.com/subject/26611804/,8.7,839984,导演: 马丁·麦克唐纳 Martin McDonagh,主演: 弗兰西斯·麦克多蒙德 France...,2017,英国 美国,剧情 犯罪
165,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,8.8,462664,导演: 让-马克·瓦雷 Jean-Marc Vallée,主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性
166,心迷宫,https://movie.douban.com/subject/25917973/,8.7,539023,导演: 忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
167,疯狂原始人,https://movie.douban.com/subject/1907966/,8.7,855681,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险
168,谍影重重3,https://movie.douban.com/subject/1578507/,8.8,428342,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚
169,英雄本色,https://movie.douban.com/subject/1297574/,8.6,554229,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
